study_id,title,first_author,year,catalogued,doi
17.0,"Quantifying the Mass Balance of Ice Caps on Severnaya Zemlya, Russian High Arctic I: Climate and Mass Balance of the Vavilov Ice Cap",Bassford,2006,True,
18.0,The thermal regime of sub-polar glaciers mapped by multi-frequency radio-echo sounding,Björnsson,1996,True,10.3189/S0022143000030495
1.0,Modelling Temperature Distribution in Alpine Glaciers,Blatter,1984,True,10.3189/1984AoG5-1-18-22
2.0,"On the Thermal Regime of an Arctic Valley Glacier: A Study of White Glacier, Axel Heiberg Island, N.W.T., Canada",Blatter,1987,True,10.3189/S0022143000008704
19.0,"Mass Balance and Thermal Regime of Laika Ice Cap, Coburg Island, N.W.T., Canada",Blatter,1988,True,10.3189/S0022143000009126
20.0,"A radar transparent layer in a temperate valley glacier: Bench Glacier, Alaska",Brown,2009,False,10.1002/esp.1835
21.0,"Flow, thermal structure, and subglacial conditions of a surge-type glacier",Clarke,1984,True,10.1139/e84-024
22.0,"Geometric and thermal evolution of a surge-type glacier in its quiescent state: Trapridge Glacier, Yukon Territory, Canada, 1969-89",Clarke,1991,False,10.3189/S002214300004291X
28.0,"Post-Surge Temperatures in Steele Glacier, Yukon Territory, Canada",Clarke,1976,True,10.3189/S0022143000031580
29.0,"THERMAL DRILLING AND DEEP ICE-TEMPERATURE MEASUREMENTS ON THE POX GLACIER, YUKON",Classen,1976,True,
75.0,Temperature profiles for the Barnes Ice Cap surge zone,Classen ,1977,True,10.3189/S0022143000021079
78.0,GEUS Greenland Temperature Project,Colgan,2022,True,
23.0,The distribution of basal motion beneath a High Arctic polythermal glacier,Copland,2003,True,10.3189/172756503781830511
24.0,The climate memory of an Arctic polythermal glacier,Delcourt,2013,True,10.3189/2013JoG12J109
30.0,"Deducing the thermal structure in the tongue of Gornergletscher, Switzerland, from radar surveys and borehole measurements",Eisen,2009,True,10.3189/172756409789097612
3.0,"The Cold Ice Tunnel on the Silbersattel, Monte Rosa: Preliminary Report",Fisher,1953,False,10.3189/S0022143000025703
4.0,Internal Temperatures of a Cold Glacier and Conclusions Therefrom,Fisher,1955,False,10.3189/002214355793702163
25.0,Outline of Japan-Russia joint Glaciological Research on Sofiyskiy Glacier，Russian Altai Mountains in 2000 and 2001,Fujii,2002,True,
5.0,"Atmospheric warming at a high-elevation tropical site revealed by englacial temperatures at Illimani, Bolivia (6340 m above sea level, 16°S, 67°W)",Gilbert,2010,True,10.1029/2009JD012961
6.0,Atmospheric temperature changes over the 20th century at very high elevations in the European Alps from englacial temperatures,Gilbert,2013,True,10.1002/grl.50401
26.0,"The influence of snow cover thickness on the thermal regime of Tête Rousse Glacier (Mont Blanc range, 3200 m a.s.l.): Consequences for outburst flood hazards and glacier response to climate change",Gilbert,2012,True,10.1029/2011JF002258
27.0,Assessment of thermal change in cold avalanching glaciers in relation to climate warming,Gilbert,2015,True,10.1002/2015GL064838
